Ref,Val,Package,PosX,PosY,Rot,Side
"U2","LM4562","SOIC-8_3.9x4.9mm_P1.27mm",69.000000,-44.450000,0.000000,top
"U3","LM4562","SOIC-8_3.9x4.9mm_P1.27mm",69.000000,-72.140000,0.000000,top
"U4","LM4562","SOIC-8_3.9x4.9mm_P1.27mm",69.000000,-99.820000,0.000000,top
"U5","LM4562","SOIC-8_3.9x4.9mm_P1.27mm",69.000000,-127.640000,0.000000,top
"U6","LM4562","SOIC-8_3.9x4.9mm_P1.27mm",69.000000,-155.450000,0.000000,top
"U7","LM4562","SOIC-8_3.9x4.9mm_P1.27mm",69.000000,-183.220000,0.000000,top
"U8","LM4562","SOIC-8_3.9x4.9mm_P1.27mm",55.000000,-44.450000,0.000000,top
"U9","LM4562","SOIC-8_3.9x4.9mm_P1.27mm",55.000000,-72.140000,0.000000,top
"U10","LM4562","SOIC-8_3.9x4.9mm_P1.27mm",55.000000,-99.820000,0.000000,top
"U11","LM4562","SOIC-8_3.9x4.9mm_P1.27mm",55.000000,-127.640000,0.000000,top
"U12","LM4562","SOIC-8_3.9x4.9mm_P1.27mm",55.000000,-155.450000,0.000000,top
"U13","LM4562","SOIC-8_3.9x4.9mm_P1.27mm",55.000000,-183.220000,0.000000,top
"U14","ADP7118ARDZ-11","SOIC127P600X175-9N",128.000000,-8.000000,0.000000,top
"U15","ADP7182AUJZ-11","SOT-23-5",128.000000,-24.000000,0.000000,top
